NOPE; 1
DEPARTAMENTO DE INGENIERIA CIVIL Y AGRICOLA BOGOTA;2
DEPARTAMENTO DE INGENIERIA QUIMICA BOGOTA;3
DEPARTAMENTO DE INGENIERIA MECANICA Y MECATRONICA BOGOTA;4
DEPARTAMENTO DE INGENIERIA ELECTRICA Y ELECTRONICA BOGOTA;5
DEPARTAMENTO DE INGENIERIA DE SISTEMAS E INDUSTRIAL BOGOTA;6
DEPARTAMENTO DE AGRONOMÍA - CIENCIAS AGRARIAS;7
DEPARTAMENTO DE AGRONOMIA BOGOTA;7
ESCUELA DE ARTES PLASTICAS Y VISUALES ARTES BOGOTA;9
ESCUELA DE CINE Y TELEVISION ARTES BOGOTA;10
ESCUELA DE DISENO GRAFICO ARTES BOGOTA;11
ESCUELA DE DISENO INDUSTRIAL ARTES BOGOTA;12
CONSERVATORIO DE MUSICA ARTES BOGOTA;13
DEPARTAMENTO DE ESTADISTICA CIENCIAS BOGOTA;15
DEPARTAMENTO DE FARMACIA CIENCIAS BOGOTA;16
DEPARTAMENTO DE FISICA CIENCIAS BOGOTA;17
DEPARTAMENTO DE GEOCIENCIAS CIENCIAS BOGOTA;18
DEPARTAMENTO DE MATEMATICAS CIENCIAS BOGOTA;19
DEPARTAMENTO DE QUIMICA CIENCIAS BOGOTA;20
DEPARTAMENTO DE SALUD ORAL ODONTOLOGIA BOGOTA;21
DEPARTAMENTO DE CIENCIAS PARA LA PRODUCCION ANIMAL MEDICINA VETERINARIA BOG;22
DEPARTAMENTO DE CIENCIAS PARA LA SALUD ANIMAL MEDICINA VETERINARIA BOGOTA;23
DEPARTAMENTO DE LA OCUPACION HUMANA Y SUS DESORDENES MEDICINA BOGOTA;24
DEPARTAMENTO DE NUTRICION MEDICINA BOGOTA;25
ESCUELA DE EDUCACION MEDICA MEDICINA BOGOTA;26
DEPARTAMENTO DE COMUNICACION HUMANA Y SUS DESORDENES MEDICINA BOGOTA;27
DEPARTAMENTO DE MOVIMIENTO CORPORAL HUMANO Y SUS DESORDENES MEDICINA BOGOTA;28
DEPARTAMENTO DE CUIDADO Y PRACTICA DE ENFERMERIA BOGOTA;29
DEPARTAMENTO DE DERECHO;30
DEPARTAMENTO DE CIENCIA POLITICA;31
DEPARTAMENTO DE CIENCIA POLÍTICA;31
DEPARTAMENTO DE TRABAJO SOCIAL C. HUMANAS BOGOTA;32
DEPARTAMENTO DE SOCIOLOGIA C. HUMANAS BOGOTA;33
DEPARTAMENTO DE SICOLOGIA C. HUMANAS BOGOTA;34
DEPARTAMENTO DE LINGUISTICA C. HUMANAS BOGOTA;35
DEPARTAMENTO DE HISTORIA C. HUMANAS BOGOTA;36
DEPARTAMENTO DE HISTORIA;36
DEPARTAMENTO DE GEOGRAFIA C. HUMANAS BOGOTA;37
DEPARTAMENTO DE FILOSOFIA C. HUMANAS BOGOTA;38
DEPARTAMENTO DE LENGUAS EXTRANJERAS C. HUMANAS BOGOTA;39
DEPARTAMENTO DE LITERATURA C. HUMANAS BOGOTA;40
