CENTRO DE ESTUDIOS SOCIALES - CES BOGOTA;42
CENTRO DE TELEMEDICINA BOGOTA;44
CONSERVATORIO DE MUSICA ARTES BOGOTA;45
DEPARTAMENTO DE AGRONOMIA BOGOTA;49
DEPARTAMENTO DE AGRONOMÍA - CIENCIAS AGRARIAS;49
DEPARTAMENTO DE ANTROPOLOGIA C. HUMANAS BOGOTA;50
DEPARTAMENTO DE BIOLOGIA CIENCIAS BOGOTA;51
DEPARTAMENTO DE CIENCIA POLITICA;53
DEPARTAMENTO DE CIENCIAS BASICAS Y MEDICINA ORAL;58
DEPARTAMENTO DE CIENCIAS FISIOLOGICAS MEDICINA BOGOTA;60
DEPARTAMENTO DE CIENCIAS PARA LA PRODUCCION ANIMAL MEDICINA VETERINARIA BOG;63
DEPARTAMENTO DE CIENCIAS PARA LA SALUD ANIMAL MEDICINA VETERINARIA BOGOTA;64
DEPARTAMENTO DE CIRUGIA MEDICINA BOGOTA;66
DEPARTAMENTO DE COMUNICACION HUMANA Y SUS DESORDENES MEDICINA BOGOTA;67
DEPARTAMENTO DE CUIDADO Y PRACTICA DE ENFERMERIA BOGOTA;71
DEPARTAMENTO DE DERECHO;72
DEPARTAMENTO DE DESARROLLO RURAL - CIENCIAS AGRARIAS;34
DEPARTAMENTO DE ENFERMERIA;80
DEPARTAMENTO DE ESTADISTICA CIENCIAS BOGOTA;81
DEPARTAMENTO DE FARMACIA CIENCIAS BOGOTA;84
DEPARTAMENTO DE FILOSOFIA C. HUMANAS BOGOTA;85
DEPARTAMENTO DE FISICA CIENCIAS BOGOTA;86
DEPARTAMENTO DE GEOCIENCIAS CIENCIAS BOGOTA;88
DEPARTAMENTO DE GEOGRAFIA C. HUMANAS BOGOTA;90
DEPARTAMENTO DE HISTORIA C. HUMANAS BOGOTA;92
DEPARTAMENTO DE IMAGENES DIAGNOSTICAS MEDICINA BOGOTA;94
DEPARTAMENTO DE INGENIERIA CIVIL Y AGRICOLA BOGOTA;101
DEPARTAMENTO DE INGENIERIA DE SISTEMAS E INDUSTRIAL BOGOTA;103
DEPARTAMENTO DE INGENIERIA ELECTRICA Y ELECTRONICA BOGOTA;104
DEPARTAMENTO DE INGENIERIA MECANICA Y MECATRONICA BOGOTA;107
DEPARTAMENTO DE INGENIERIA QUIMICA BOGOTA;109
DEPARTAMENTO DE LENGUAS EXTRANJERAS C. HUMANAS BOGOTA;111
DEPARTAMENTO DE LINGUISTICA C. HUMANAS BOGOTA;112
DEPARTAMENTO DE LITERATURA C. HUMANAS BOGOTA;113
DEPARTAMENTO DE MATEMATICAS CIENCIAS BOGOTA;70
DEPARTAMENTO DE MEDICINA BOGOTA;115
DEPARTAMENTO DE MEDICINA FISICA Y REHABILITACION MEDICINA BOGOTA;116
DEPARTAMENTO DE MEDICINA INTERNA;117
DEPARTAMENTO DE MEDICINA ORAL Y CIRUGIA;118
DEPARTAMENTO DE MICROBIOLOGIA MEDICINA BOGOTA;119
DEPARTAMENTO DE MORFOLOGIA MEDICINA BOGOTA;120
DEPARTAMENTO DE MOVIMIENTO CORPORAL HUMANO Y SUS DESORDENES MEDICINA BOGOTA;121
DEPARTAMENTO DE NUTRICION MEDICINA BOGOTA;122
DEPARTAMENTO DE OBSTETRICIA Y GINECOLOGIA MEDICINA BOGOTA;199
